날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 02월 03일,185.72,181.89,190.66,180.00,4.17M,3.66%
2021년 02월 02일,179.17,183.38,186.20,177.12,4.41M,-0.70%
2021년 02월 01일,180.44,188.00,188.04,179.75,3.88M,-1.74%
2021년 01월 29일,183.63,190.71,193.50,179.31,4.53M,-2.00%
2021년 01월 28일,187.37,202.50,212.80,187.10,7.08M,-6.90%
2021년 01월 27일,201.25,187.48,216.00,187.48,11.02M,4.42%
2021년 01월 26일,192.74,179.86,192.74,177.33,6.46M,8.57%
2021년 01월 25일,177.53,186.78,192.41,170.08,7.47M,-2.39%
2021년 01월 22일,181.87,178.09,185.31,175.19,7.14M,0.81%
2021년 01월 21일,180.40,164.99,183.47,155.33,17.62M,11.47%
2021년 01월 20일,161.83,176.01,176.31,161.00,8.52M,-6.83%
2021년 01월 19일,173.69,174.00,178.50,167.00,4.69M,2.61%
2021년 01월 15일,169.27,184.58,185.99,164.86,8.58M,-6.22%
2021년 01월 14일,180.50,176.05,187.20,175.24,9.93M,6.18%
2021년 01월 13일,169.99,161.00,178.52,159.55,12.53M,5.72%
2021년 01월 12일,160.80,148.45,163.81,143.66,8.15M,8.55%
2021년 01월 11일,148.13,147.00,150.47,144.16,2.80M,-1.10%
2021년 01월 08일,149.77,153.45,155.54,147.25,4.62M,-0.99%
2021년 01월 07일,151.27,146.18,154.42,145.39,4.48M,5.95%
2021년 01월 06일,142.77,145.92,148.35,141.20,4.21M,-3.73%
2021년 01월 05일,148.30,139.26,149.00,137.28,5.97M,6.58%
2021년 01월 04일,139.15,149.86,150.36,137.00,6.41M,-5.21%
2020년 12월 31일,146.80,146.97,147.82,144.56,2.80M,-1.10%
2020년 12월 30일,148.43,150.90,152.77,145.62,3.46M,-1.05%
2020년 12월 29일,150.00,150.28,151.45,143.21,5.40M,0.67%
2020년 12월 28일,149.00,158.24,163.50,147.55,6.23M,-3.77%
2020년 12월 24일,154.84,159.16,162.79,154.11,3.62M,-2.01%
2020년 12월 23일,158.01,162.72,168.23,155.51,5.85M,-3.17%
2020년 12월 22일,163.19,169.98,174.85,161.29,9.89M,0.10%
2020년 12월 21일,163.02,155.50,171.82,145.15,17.79M,3.64%
2020년 12월 18일,157.30,150.45,159.00,150.30,15.95M,6.97%
2020년 12월 17일,147.05,143.00,152.40,143.00,15.05M,6.57%
2020년 12월 16일,137.99,125.83,142.00,124.91,20.37M,10.57%
2020년 12월 15일,124.80,125.60,127.47,121.51,10.91M,-4.00%
2020년 12월 14일,130.00,134.92,134.92,125.21,16.97M,-6.64%
2020년 12월 11일,139.25,146.55,151.50,135.10,26.98M,-3.77%
