날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 03월 23일,2215.00,2250.62,2250.62,2184.47,501.83K,-0.76%
2021년 03월 22일,2231.90,2322.10,2335.00,2226.30,531.41K,-2.44%
2021년 03월 19일,2287.74,2332.82,2350.09,2265.81,637.55K,-2.52%
2021년 03월 18일,2346.90,2440.60,2443.30,2345.80,498.09K,-4.67%
2021년 03월 17일,2461.80,2395.00,2467.10,2392.00,394.36K,2.72%
2021년 03월 16일,2396.60,2405.20,2429.50,2380.00,360.67K,-1.76%
2021년 03월 15일,2439.50,2412.76,2443.52,2374.01,468.71K,1.60%
2021년 03월 12일,2401.00,2360.60,2410.00,2360.60,404.71K,1.65%
2021년 03월 11일,2362.10,2392.70,2447.30,2349.20,512.32K,-0.30%
2021년 03월 10일,2369.30,2384.20,2420.00,2367.80,443.98K,0.11%
2021년 03월 09일,2366.80,2386.00,2441.80,2350.80,481.88K,-0.08%
2021년 03월 08일,2368.74,2303.43,2412.34,2298.35,560.18K,2.67%
2021년 03월 05일,2307.10,2235.77,2312.80,2178.88,435.60K,3.96%
2021년 03월 04일,2219.30,2244.00,2254.80,2166.70,484.10K,-2.45%
2021년 03월 03일,2275.00,2286.23,2334.94,2272.14,364.22K,-0.32%
2021년 03월 02일,2282.20,2328.00,2342.00,2276.20,310.09K,-1.65%
2021년 03월 01일,2320.50,2354.50,2354.50,2303.00,359.96K,-0.34%
2021년 02월 26일,2328.51,2343.90,2345.00,2251.71,503.93K,2.43%
2021년 02월 25일,2273.20,2423.30,2425.70,2262.80,751.80K,-6.97%
2021년 02월 24일,2443.50,2343.77,2450.26,2324.18,609.99K,3.56%
2021년 02월 23일,2359.40,2350.00,2364.50,2299.90,515.35K,0.40%
2021년 02월 22일,2350.02,2265.67,2392.97,2265.67,502.97K,2.48%
2021년 02월 19일,2293.05,2273.00,2322.04,2259.85,353.82K,1.47%
2021년 02월 18일,2259.79,2190.03,2275.91,2190.03,315.07K,1.16%
2021년 02월 17일,2233.80,2184.60,2236.20,2183.10,287.71K,2.27%
2021년 02월 16일,2184.16,2139.19,2198.03,2133.71,234.29K,1.56%
2021년 02월 12일,2150.58,2126.35,2188.99,2110.01,210.61K,-0.40%
2021년 02월 11일,2159.26,2145.34,2183.66,2132.84,256.40K,0.82%
2021년 02월 10일,2141.80,2100.80,2159.00,2100.00,334.13K,2.71%
2021년 02월 09일,2085.30,2088.20,2099.60,2053.60,229.73K,-0.68%
2021년 02월 08일,2099.56,2117.05,2131.66,2070.79,212.25K,0.15%
2021년 02월 05일,2096.42,2109.29,2129.99,2073.88,238.41K,0.65%
2021년 02월 04일,2082.90,2037.60,2083.50,2020.80,355.23K,2.74%
2021년 02월 03일,2027.30,2079.53,2094.80,2024.72,351.05K,-1.85%
2021년 02월 02일,2065.50,2039.70,2109.50,2026.60,440.69K,3.77%
2021년 02월 01일,1990.50,1976.10,2006.30,1968.10,478.75K,2.37%
2021년 01월 29일,1944.33,2036.00,2040.00,1938.80,536.33K,-4.41%
2021년 01월 28일,2034.10,1979.00,2046.30,1962.10,843.45K,7.85%
2021년 01월 27일,1886.10,1945.00,1945.00,1867.30,705.61K,-4.90%
2021년 01월 26일,1983.20,2031.30,2053.00,1978.80,447.92K,-1.74%
2021년 01월 25일,2018.40,2040.60,2047.10,1950.00,879.52K,-2.32%
2021년 01월 22일,2066.24,2101.83,2109.51,2065.00,356.70K,-2.07%
2021년 01월 21일,2109.94,2140.90,2157.01,2105.00,460.84K,-2.32%
2021년 01월 20일,2160.05,2179.98,2179.98,2124.56,339.04K,-0.14%
2021년 01월 19일,2163.04,2135.00,2169.95,2108.96,274.81K,2.07%
2021년 01월 15일,2119.23,2179.29,2179.29,2116.00,340.76K,-2.90%
2021년 01월 14일,2182.59,2185.27,2215.78,2178.77,272.49K,0.01%
2021년 01월 13일,2182.40,2178.90,2203.30,2173.20,239.61K,-0.63%
2021년 01월 12일,2196.30,2236.10,2236.10,2196.30,259.41K,-1.13%
2021년 01월 11일,2221.30,2251.00,2259.80,2215.00,320.58K,-2.64%
2021년 01월 08일,2281.54,2256.34,2289.98,2248.47,310.54K,1.86%
2021년 01월 07일,2239.85,2278.15,2288.00,2219.77,299.58K,-0.44%
2021년 01월 06일,2249.81,2175.89,2288.49,2160.00,386.20K,2.82%
2021년 01월 05일,2188.10,2164.00,2223.40,2164.00,348.24K,1.11%
2021년 01월 04일,2164.08,2250.00,2257.19,2121.21,333.29K,-2.84%
2020년 12월 31일,2227.27,2198.07,2227.97,2185.00,176.62K,1.00%
2020년 12월 30일,2205.26,2200.00,2214.01,2174.97,229.56K,0.91%
2020년 12월 29일,2185.40,2174.90,2197.80,2161.10,341.90K,2.22%
2020년 12월 28일,2137.92,2129.45,2152.26,2124.46,250.84K,2.37%
2020년 12월 24일,2088.35,2119.00,2119.00,2081.00,182.52K,-0.59%
2020년 12월 23일,2100.85,2055.39,2114.15,2050.43,314.26K,2.34%
2020년 12월 22일,2052.80,2052.40,2055.50,2031.40,198.83K,-0.74%
2020년 12월 21일,2068.20,2040.00,2070.60,2024.40,357.11K,-1.50%
2020년 12월 18일,2099.65,2118.75,2118.75,2087.93,536.19K,-0.65%
2020년 12월 17일,2113.43,2117.95,2126.95,2070.51,289.20K,0.70%
2020년 12월 16일,2098.71,2118.20,2118.20,2077.40,228.08K,0.03%
2020년 12월 15일,2098.10,2067.50,2101.40,2057.40,314.71K,1.55%
2020년 12월 14일,2066.00,2124.00,2143.00,2066.00,339.28K,-1.11%
2020년 12월 11일,2089.21,2090.22,2104.02,2050.13,354.47K,-0.75%
2020년 12월 10일,2104.90,2089.30,2150.00,2089.30,380.19K,-0.10%
2020년 12월 09일,2107.10,2091.40,2168.50,2086.30,697.95K,0.98%
2020년 12월 08일,2086.70,2101.70,2113.20,2083.60,342.35K,-1.98%
2020년 12월 07일,2128.80,2109.30,2134.20,2088.90,321.54K,0.18%
2020년 12월 04일,2125.03,2103.70,2138.97,2090.00,339.52K,1.35%
2020년 12월 03일,2096.63,2096.80,2122.03,2065.18,326.69K,0.88%
2020년 12월 02일,2078.42,2052.67,2097.99,2036.88,234.14K,1.25%
2020년 12월 01일,2052.67,2047.21,2088.85,2030.00,275.69K,1.19%
2020년 11월 30일,2028.45,2057.67,2058.00,2019.87,329.53K,-1.18%
2020년 11월 27일,2052.67,2067.86,2083.72,2048.28,117.20K,-0.54%
2020년 11월 25일,2063.80,2106.50,2109.50,2045.10,215.94K,-1.88%
2020년 11월 24일,2103.40,2048.90,2107.00,2039.00,445.81K,4.14%
