날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 07월 23일,161.55,161.52,162.67,160.35,1.42M,0.95%
2021년 07월 22일,160.03,161.23,162.17,158.66,1.26M,-1.47%
2021년 07월 21일,162.42,157.59,163.70,157.59,2.47M,4.04%
2021년 07월 20일,156.12,152.62,157.61,150.10,2.14M,2.95%
2021년 07월 19일,151.64,153.15,153.96,150.02,4.17M,-3.79%
2021년 07월 16일,157.61,160.96,161.57,156.96,2.22M,-1.05%
2021년 07월 15일,159.29,159.51,160.63,157.80,2.23M,-1.06%
2021년 07월 14일,160.99,162.93,167.17,160.41,2.20M,-0.64%
2021년 07월 13일,162.02,165.77,166.73,161.65,2.90M,-3.18%
2021년 07월 12일,167.35,166.41,167.35,164.57,1.70M,-0.23%
2021년 07월 09일,167.74,163.52,168.46,163.03,1.81M,3.83%
2021년 07월 08일,161.56,158.81,162.53,156.67,2.22M,-0.86%
2021년 07월 07일,162.96,165.22,166.84,161.16,1.67M,-1.58%
2021년 07월 06일,165.57,166.69,167.79,164.40,1.53M,-1.10%
2021년 07월 02일,167.42,167.99,169.29,166.97,1.84M,0.23%
2021년 07월 01일,167.03,164.39,167.73,164.21,2.24M,2.03%
2021년 06월 30일,163.71,159.75,164.24,159.14,2.04M,2.38%
2021년 06월 29일,159.90,163.76,164.29,159.54,2.56M,-2.23%
2021년 06월 28일,163.55,170.04,170.24,158.89,4.89M,-4.35%
2021년 06월 25일,170.99,170.52,172.78,169.01,4.98M,0.55%
2021년 06월 24일,170.05,169.93,170.51,168.31,1.12M,0.65%
2021년 06월 23일,168.95,166.68,170.03,166.25,1.24M,1.21%
2021년 06월 22일,166.93,168.84,168.84,165.30,1.40M,-0.59%
2021년 06월 21일,167.92,163.36,168.49,162.80,2.22M,3.06%
2021년 06월 18일,162.93,165.58,165.71,161.65,3.59M,-1.80%
2021년 06월 17일,165.92,167.66,169.34,164.91,2.38M,-1.21%
2021년 06월 16일,167.96,168.83,170.08,166.16,1.99M,-1.20%
2021년 06월 15일,170.00,169.22,171.26,168.45,1.55M,0.51%
2021년 06월 14일,169.14,173.27,173.71,168.46,2.26M,-2.20%
2021년 06월 11일,172.94,172.20,174.45,171.73,1.46M,0.79%
2021년 06월 10일,171.58,173.05,173.42,169.32,1.17M,-0.71%
2021년 06월 09일,172.80,173.21,174.11,171.67,1.48M,0.11%
2021년 06월 08일,172.61,170.75,173.12,170.33,1.39M,1.33%
2021년 06월 07일,170.35,172.29,172.29,168.46,2.07M,-0.62%
2021년 06월 04일,171.42,172.04,173.48,171.07,1.42M,0.39%
2021년 06월 03일,170.75,174.94,174.94,170.36,1.85M,-2.52%
2021년 06월 02일,175.17,177.72,178.16,174.93,1.99M,-1.21%
2021년 06월 01일,177.31,178.81,179.59,176.81,1.54M,0.20%
2021년 05월 28일,176.95,172.88,178.14,172.88,1.90M,1.63%
2021년 05월 27일,174.11,174.91,175.19,172.83,2.22M,-0.41%
2021년 05월 26일,174.83,172.97,175.17,172.42,1.88M,1.02%
2021년 05월 25일,173.06,173.03,175.48,171.75,1.89M,1.15%
2021년 05월 24일,171.10,169.00,172.31,167.79,1.93M,1.81%
2021년 05월 21일,168.06,170.02,171.25,167.19,1.70M,-0.64%
2021년 05월 20일,169.14,167.00,170.14,166.50,1.82M,1.24%
