,hotel,star,review,date,date
29,라까사 호텔 서울,2,"다른곳에서 느껴보지 못한 서비스 ㄴㅇㄱ

스위트룸 2박 했습니다.
청소 생각보다 깨끗하진 않았습니다.

둘쨋날 점심 무렵 룸서비스 시켰었는데 청소하시는 분이 객실 청소한다고 찾아오시더구요. 타 호텔서는 객실에 손님이 아직 있으면 먼저 객실내 확인전화들 주시던데 다짜고짜 처들어오시네요.
아직 객실내에 있다는걸 몰랐다 하진 않으시겠지요?

룸서비스는 직접 정리해서 문밖에 내놔야하는 번거로움이 있습니다.
음식은 맛이 괜찮습니다.

욕실에서 돈벌래도 만났습니다.
물이 바닥에 흘러도 재대로 빠지지 않아서 찰박찰박 고여서 있습니다.
욕조근처가 특히 말입니다.
욕실입구부터 물바다 되기 쉽습니다.
전날밤에 물좀 흘렀으면 다음날 아침에 찬물이 고인 바닥을 만날수있습니다.

호텔숙박 그것도 연박인데 주차요금 별도는 상상도 못했구요.

가격에 비해 부족한점이 많습니다.
서비스는 둘째치고 고객에 대한 기본배려가 부족한게 아닌가 싶네요.더보기",2021. 10. 11,2021. 10. 11
30,라까사 호텔 서울,1,에어컨소리나서 방바꿨는데두 소리나구 욕조 없음 ㅠ,2021. 10. 05,2021. 10. 05
31,라까사 호텔 서울,5,깔끔하고 좋았습니다~,2021. 09. 27,2021. 09. 27
32,라까사 호텔 서울,5,아ㅠ깨긋하고 친절하고 좋앗어요! 굿굿,2021. 09. 24,2021. 09. 24
33,라까사 호텔 서울,5,조아요조아요,2021. 09. 22,2021. 09. 22
34,라까사 호텔 서울,5,Best as always,2021. 09. 16,2021. 09. 16
35,라까사 호텔 서울,5,넘친절하구 좋았어요,2021. 09. 12,2021. 09. 12
36,라까사 호텔 서울,5,만족합니다,2021. 09. 12,2021. 09. 12
37,라까사 호텔 서울,4,편히쉬다갑니다,2021. 09. 02,2021. 09. 02
38,라까사 호텔 서울,2,"침대 밑으로 핸드폰이 빠져서 침대 밑을 봤는데
쓰던 콘돔 나옴",2021. 08. 22,2021. 08. 22
39,라까사 호텔 서울,5,신사올때마다 와요 좋아요:),2021. 08. 18,2021. 08. 18
40,라까사 호텔 서울,5,깨끗했습니다. 직원분도 친절하십니다.,2021. 08. 17,2021. 08. 17
41,라까사 호텔 서울,5,깔끔하고 좋았어요,2021. 08. 15,2021. 08. 15
42,라까사 호텔 서울,5,친절하게 잘 대해주시네요,2021. 08. 14,2021. 08. 14
43,라까사 호텔 서울,5,"매우친절
약간 먼지가 많으나 여러모로 편리한 호텔",2021. 08. 05,2021. 08. 05
44,라까사 호텔 서울,4,언제나 좋은곳,2021. 08. 03,2021. 08. 03
